num_training_examples,error,log_loss,training_time_seconds
256,0.2655,0.861389,0.179189
512,0.2378,0.782242,0.126695
1024,0.2292,0.753978,0.413728
2048,0.2123,0.681123,0.335441
4096,0.2017,0.659367,0.493824
8192,0.1941,0.62569,0.825947
16384,0.1893,0.613175,1.583187
32768,0.1872,0.607083,3.122108
60000,0.1876,0.60541,5.613661
